id,question,expected_answer,category,must_refuse,must_cite_source,expected_sources,scenario_id,notes
Q001,orientation selon profil,? : Est ce que le concours Experte ou expert en information statistique correspond à mon profil licence mathématiques ?,,,,,,
Q002,"rep : Pour le concours n°64, le grade mentionné est Ingénieur de recherche (IR). D'après les règles générales du CNRS pour ce grade : Diplômes requis : Vous devez être titulaire d'un Doctorat (Bac+8) ou d'un titre d'ingénieur délivré par une école nationale supérieure ou une université. Équivalences : Des diplômes étrangers ou d'autres titres jugés équivalents par la commission de recrutement peuvent également être acceptés.",info précise sur concours,,,,,,
Q003,? : Quelles sont les responsabilités de l'ingénieur logiciel recruté au concours Experte ou expert en information statistique ?,rep : L'agent développera des outils numériques avancés pour traiter et analyser des,,,,,,
Q004,"données océanographiques hétérogènes, facilitant ainsi la compréhension des",processus biogéochimiques et biologiques marins.,,,,,,
Q005,"carrière, évolution, salaire",? : Quel salaire je peux prétendre en fin de carrière ?,,,,,,
Q006,"rep : Le concours numéro 64 fait référence à un poste d’ingénieur de recherche, vous pouvez donc prétendre à un salaire de 6 081.19 € en fin de carrière.",déroulement du concours,,,,,,
Q007,? : Est ce que le lieu du concours Experte ou expert en information statistique est Villefranche sur mer ?,"rep : La fiche du concours indique que le lieu de travail est à Villefranche-sur-Mer. Cependant, le lieu exact des épreuves d'admission n'est pas précisé dans ce document. Il est conseillé de consulter régulièrement l'espace candidat sur le site du CNRS ou de contacter la délégation Occitanie-Ouest pour obtenir le calendrier des auditions.",,,,,,
Q008,date et lieu ref au pdf,? : où et quand se déroule le concours Experte ou expert en information statistique ?,,,,,,
Q009,rep : Le lieu d’épreuve n’est pas encore défini. Le calendrier général mentionne les étapes clés du concours : 15 décembre 2025 : Phase de préparation en autonomie par les étudiants. 5 janvier 2026 : Lancement officiel du hackathon et démarrage du projet. Semaine du 12 janvier 2026 : Réunions de suivi possibles avec le groupe.16 janvier 2026 : Soutenance finale du projet.,"hors sujet, conversation",,,,,,
Q010,?  : Est ce que Toulouse est plus proche de Marseille ou de Paris?,rep : Je ne possède pas d’information à ce sujet.,,,,,,
Q011,question générale :,? : Puis-je passer une épreuve du concours en visio car je ne suis pas sur les lieux?,,,,,,
Q012,"rep : Pour les candidates et candidats résidant à l'étranger ou dans les territoires ultramarins, les candidates enceintes et les candidates et candidats en situation de handicap ou dont l'état de santé le justifie, l'audition est organisée en visioconférence sur demande auprès du Service Recrutement et Intégration",(drh-seri.concours-examens@cnrs.fr).,,,,,,
Q013,—---------------------------------------------------------------------,Question : Combien de postes sont disponibles pour le concours ingénieur biologiste en analyse des données ?,,,,,,
Q014,Réponse : Le concours comprend trois postes distincts :,un poste à Paris 5e (UAR DoHNEE – MNHN / CNRS E&E) centré sur l’analyse de données omiques en écologie et biologie ;,,,,,,
Q015,un poste à Paris 15e (Institut Necker Enfants Malades) dédié au pilotage d’un hub de bioinformatique et aux analyses intégratives ;,"un poste à Lyon 7e (CIRI) orienté vers la bioinformatique en immunologie, virologie et bactériologie.",,,,,,
Q016,Question : Quelles sont les missions du poste ?,Réponse :,,,,,,
Q017,"Pour le concours « ingénieure ou ingénieur biologiste en analyse de données », les missions attendues portent principalement sur l’analyse et la valorisation de données biologiques à grande échelle. Elles incluent notamment :","Apporter une expertise en analyse de données omiques et bioinformatiques pour des projets de recherche en biologie, écologie, santé ou infectiologie.",,,,,,
Q018,"Conseiller les équipes de recherche sur les protocoles expérimentaux, les méthodes d’analyse et l’exploitation des données.","Concevoir, développer et maintenir des pipelines et outils d’analyse, de gestion et de visualisation des données.",,,,,,
Q019,"Réaliser des analyses intégratives à grande échelle (génomique, protéomique, métabolomique, données cliniques selon les postes).","Participer à l’interprétation, la valorisation et la diffusion des résultats scientifiques (rapports, publications, outils).",,,,,,
Q020,"Contribuer à la structuration et à l’animation de services ou réseaux de bioinformatique, ainsi qu’à la veille scientifique et technologique.",Question : Quels sont les pré-requis pour passer ce concours ?,,,,,,
