ID,Question,Context_Recall
1,"Combien de postes sont disponibles pour le concours ingénieur biologiste en analyse des données ?",1
2,Est ce que le concours Experte ou expert en information statistique correspond à mon profil licence mathématiques ?,1
3,Quelles sont les responsabilités de l'ingénieur logiciel recruté au concours Experte ou expert en information statistique ?,0
4,Quel salaire je peux prétendre en fin de carrière ?,0
5,Est ce que le lieu du concours Experte ou expert en information statistique est Villefranche sur mer ? ,0
6,où et quand se déroule le concours Experte ou expert en information statistique ?,0
7,Quelles sont les missions du poste ingénieur biologiste en analyse des données ?,1
8,Quels sont les pré-requis pour passer le concours d’ingénieur biologiste en analyse des données ?,1
9,Quel est le salaire net mensuel exact pour le poste d’ingénieur biologiste en analyse des données ?,1
10,Quels sont les diplômes requis pour postuler au concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,0
11,Le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles nécessite-t-il des compétences techniques particulières en matière de traitement de documents anciens ?,1
12,Est-il nécessaire de savoir encadrer une équipe pour ce poste d'Ingénieur de recherche en analyse des sources historiques et culturelles?,0
13,Où le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles est-il localisé géographiquement ?,1
14,Des déplacements sont-ils à prévoir pour le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,0
15,Quelles sont les possibilités de télétravail pour cet emploi du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,1
16,Quelles sont les dates exactes des auditions pour le concours d’ingénieur biologiste en analyse des données ? ,1
17,Quel est le budget alloué pour l'achat de matériel informatique pour le poste d’ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,0
18,Quel est le taux de réussite du concours l’an dernier ?,0
19,"Combien de candidats se présentent en moyenne ? ",0
20,Puis-je passer une épreuve du concours en visio car je ne suis pas sur les lieux?,1
21,Est ce que Toulouse est plus proche de Marseille ou de Paris?,0
22," Qui est le responsable scientifique de le poste  d'ingénieur biologiste en analyse de données ?
",0
23,Faut-il obligatoirement un doctorat pour le concours d'ingénieur biologiste en analyse de données ? ,1
24," Quel niveau de langue est nécessaire pour le concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?",0
25,Le concours d'ingénieur biologiste en analyse de données est-il ouvert uniquement aux fonctionnaires ?,0
26,Le poste du concours d’ingénieur biologiste en analyse de données en télétravail à 100 % ? ,0
27,Le poste d’ingénieur biologiste en analyse de données inclut-il de l’enseignement universitaire obligatoire ? ,0
28,Quelle est la source pour le nombre de postes pour le concours ingénieur biologiste en analyse de données ? ,0
29,"Sur quel document t’appuies-tu pour le concours ingénieur biologiste en analyse de données ? 
",0
30,"Je suis très à l'aise avec la consultation de bases de données, mais le poste d’ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles demande-t-il aussi des compétences techniques pour en créer ?",0
31,Est-ce un bon poste ? ,0
32,Ce concours est-il intéressant ? ,0
33," Qu’en penses-tu ? 
",1
34,Tu es sûr qu’il n’y a pas 4 postes au concours d’ingénieur biologiste en analyse de données ? ,0
35,"Il y a donc un seul poste à Lyon pour le concours d’ingénieur biologiste en analyse de données, c’est bien ça ?",0
36,"J'ai un master en statistique, est ce que je peux postuler aux concours ingénieure biologiste en plateforme scientifique ?",1
37,Pour le concours d'ingénieure biologiste en plateforme scientifique quelles expériences en analyse protéomique sont nécessaires pour ce poste ?,0
38,Dans quelle équipe serais-je affecté pour le concours d'ingénieure biologiste en plateforme scientifique ?,0
39,Quelle est la différence entre une unité de recherche et une unité d’appui et de recherche (UAR) ?,1
40,"Comment le CNRS est-il organisé (instituts, unités, plateformes) ?",1
41,Quelles perspectives d’évolution de carrière existent pour un ingénieur biologiste en plateforme scientifique ?,1
42,Le poste d'ingénieur biologiste en plateforme scientifique relève-t-il d’un concours ITA ou ITRF ?,0
43,Le poste d'ingénieur biologiste en plateforme scientifique permet-il de participer à des publications scientifiques ?,0
44,Le poste d'ingénieur biologiste en plateforme scientifiques concerne-t-il exclusivement le domaine de la protéomique ?,0
45,Quelle est la rémunération indicative pour un ingénieur de recherche au CNRS ?,1
46,Quels sont les avantages offerts par le CNRS en termes de formation et d'environnement de travail ?,1
47, Le concours d’ingénieur biologiste en analyse de données comprend-il un poste en cybersécurité ? ,0
48, Y a-t-il un poste à Marseille pour le concours d’ingénieur biologiste en analyse de données ?,0
